>[    3.674607] random 0033 0000 0000 cadf44cd e6e5b548: add_timer_randomness(.. 8388864) with jiffies: 6934907023666372252, cycles: 6934907019371488160
[    5.016628] random 0094 0000 0000 dd9f49c1 8163b1da: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.016631] random 0094 0000 0000 dd9f49c1 8163b1da: extract_entropy(.. 16 ..)
[    5.016633] random 0094 0000 0000 dd9f49c1 8163b1da: trying to extract 128 bits from input
[    5.016635] random 0094 0000 0000 dd9f49c1 8163b1da: debiting 0 entropy credits from input
[    5.016637] random 0094 0000 0000 dd9f49c1 8163b1da: extract_entropy account returned: 0 
[    5.016640] random 0094 0000 0000 dd9f49c1 8163b1da: urand_change_num 1789 xfer_secondary_pool(16): pool_sig fffffe1e, data_sig 00000000, bytes_mixed 0 dd9f49c1 8163b1da
[    5.016643] random 0094 0000 0000 dd9f49c1 8163b1da: trying to extract 128 bits from nonblocking
[    5.016646] random 0094 0000 0000 dd9f49c1 8163b1da: debiting 128 entropy credits from nonblocking (unlimited)
[    5.016648] random 0094 0000 0000 dd9f49c1 8163b1da: extract_entropy account returned: 16 
[    5.016652] random 0094 0000 0000 dd9f49c1 8163b1da: urand_change_num 1790 extract_buf: pool_sig fffffe1e, data_sig 00000032, bytes_mixed 20 dd9f49c1 8163b1da
[    5.016656] random 0094 0000 0000 a291a0fd 3b9c70a9: urand_change_num 1791 extract_buf: pool_sig fffffba4, data_sig 00000033, bytes_mixed 20 a291a0fd 3b9c70a9
[    5.017175] random 0094 0000 0000 ed746f45 0f58578f: rand_read_num 595 get_random_bytes(16): sig fffffb62 ed746f45 0f58578f
[    5.017178] random 0094 0000 0000 ed746f45 0f58578f: extract_entropy(.. 16 ..)
[    5.017181] random 0094 0000 0000 ed746f45 0f58578f: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.017183] random 0094 0000 0000 ed746f45 0f58578f: extract_entropy(.. 16 ..)
[    5.017186] random 0094 0000 0000 ed746f45 0f58578f: trying to extract 128 bits from input
[    5.017188] random 0094 0000 0000 ed746f45 0f58578f: debiting 0 entropy credits from input
[    5.017190] random 0094 0000 0000 ed746f45 0f58578f: extract_entropy account returned: 0 
[    5.017193] random 0094 0000 0000 ed746f45 0f58578f: urand_change_num 1792 xfer_secondary_pool(16): pool_sig fffffb62, data_sig 00000000, bytes_mixed 0 ed746f45 0f58578f
[    5.017196] random 0094 0000 0000 ed746f45 0f58578f: trying to extract 128 bits from nonblocking
[    5.017199] random 0094 0000 0000 ed746f45 0f58578f: debiting 128 entropy credits from nonblocking (unlimited)
[    5.017201] random 0094 0000 0000 ed746f45 0f58578f: extract_entropy account returned: 16 
[    5.017204] random 0094 0000 0000 ed746f45 0f58578f: urand_change_num 1793 extract_buf: pool_sig fffffb62, data_sig fffffe42, bytes_mixed 20 ed746f45 0f58578f
[    5.017209] random 0094 0000 0000 ed746f45 0f58578f: urand_change_num 1794 extract_buf: pool_sig fffffdde, data_sig 000000bd, bytes_mixed 20 ed746f45 0f58578f
[    5.018425] RANDOM get_random_int call with cycles 39174939052905, jiffies 4294893548 and pid 1
[    5.018558] random 0094 0000 0000 4251711f e6ca5b2c: rand_read_num 596 get_random_bytes(16): sig 00000327 4251711f e6ca5b2c
[    5.018561] random 0094 0000 0000 4251711f e6ca5b2c: extract_entropy(.. 16 ..)
[    5.018564] random 0094 0000 0000 4251711f e6ca5b2c: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.018566] random 0094 0000 0000 4251711f e6ca5b2c: extract_entropy(.. 16 ..)
[    5.018568] random 0094 0000 0000 4251711f e6ca5b2c: trying to extract 128 bits from input
[    5.018571] random 0094 0000 0000 4251711f e6ca5b2c: debiting 0 entropy credits from input
[    5.018573] random 0094 0000 0000 4251711f e6ca5b2c: extract_entropy account returned: 0 
[    5.018576] random 0094 0000 0000 4251711f e6ca5b2c: urand_change_num 1795 xfer_secondary_pool(16): pool_sig 00000327, data_sig 00000000, bytes_mixed 0 4251711f e6ca5b2c
[    5.018579] random 0094 0000 0000 4251711f e6ca5b2c: trying to extract 128 bits from nonblocking
[    5.018581] random 0094 0000 0000 4251711f e6ca5b2c: debiting 128 entropy credits from nonblocking (unlimited)
[    5.018584] random 0094 0000 0000 4251711f e6ca5b2c: extract_entropy account returned: 16 
[    5.018587] random 0094 0000 0000 4251711f e6ca5b2c: urand_change_num 1796 extract_buf: pool_sig 00000327, data_sig fffffead, bytes_mixed 20 4251711f e6ca5b2c
[    5.018592] random 0094 0000 0000 fab1b751 ce02da0f: urand_change_num 1797 extract_buf: pool_sig 000002ff, data_sig 0000009b, bytes_mixed 20 fab1b751 ce02da0f
[    5.018997] random 0094 0000 0000 fab1b751 ce02da0f: rand_read_num 597 get_random_bytes(16): sig 000000d5 fab1b751 ce02da0f
[    5.018999] random 0094 0000 0000 fab1b751 ce02da0f: extract_entropy(.. 16 ..)
[    5.019002] random 0094 0000 0000 fab1b751 ce02da0f: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.019005] random 0094 0000 0000 fab1b751 ce02da0f: extract_entropy(.. 16 ..)
[    5.019007] random 0094 0000 0000 fab1b751 ce02da0f: trying to extract 128 bits from input
[    5.019009] random 0094 0000 0000 fab1b751 ce02da0f: debiting 0 entropy credits from input
[    5.019011] random 0094 0000 0000 fab1b751 ce02da0f: extract_entropy account returned: 0 
[    5.019014] random 0094 0000 0000 fab1b751 ce02da0f: urand_change_num 1798 xfer_secondary_pool(16): pool_sig 000000d5, data_sig 00000000, bytes_mixed 0 fab1b751 ce02da0f
[    5.019017] random 0094 0000 0000 fab1b751 ce02da0f: trying to extract 128 bits from nonblocking
[    5.019020] random 0094 0000 0000 fab1b751 ce02da0f: debiting 128 entropy credits from nonblocking (unlimited)
[    5.019022] random 0094 0000 0000 fab1b751 ce02da0f: extract_entropy account returned: 16 
[    5.019026] random 0094 0000 0000 fab1b751 ce02da0f: urand_change_num 1799 extract_buf: pool_sig 000000d5, data_sig 00000081, bytes_mixed 20 fab1b751 ce02da0f
[    5.019030] random 0094 0000 0000 afbde5f4 6befb217: urand_change_num 1800 extract_buf: pool_sig 00000058, data_sig ffffff94, bytes_mixed 20 afbde5f4 6befb217
[    5.019212] random 0094 0000 0000 afbde5f4 6befb217: add_disk_randomness(8:0) afbde5f4 6befb217
[    5.019216] random 0094 0000 0000 afbde5f4 6befb217: add_timer_randomness(.. 8388864) with jiffies: 2337511662807867372, cycles: 2337511658512982945
[    5.019219] random 0094 0000 0000 afbde5f4 6befb217: added 2 entropy credits to input
[    5.019589] random 0096 0000 0000 afbde5f4 6befb217: add_disk_randomness(8:0) afbde5f4 6befb217
[    5.019593] random 0096 0000 0000 afbde5f4 6befb217: add_timer_randomness(.. 8388864) with jiffies: 2341399935355641836, cycles: 2341399931060757409
[    5.019716] random 0096 0000 0000 afbde5f4 6befb217: add_disk_randomness(8:0) afbde5f4 6befb217
[    5.019720] random 0096 0000 0000 afbde5f4 6befb217: add_timer_randomness(.. 8388864) with jiffies: 2342708062134919148, cycles: 2342708057840034721
[    5.019785] random 0096 0000 0000 afbde5f4 6befb217: rand_read_num 598 get_random_bytes(16): sig 000006e4 afbde5f4 6befb217
[    5.019786] random 0096 0000 0000 afbde5f4 6befb217: extract_entropy(.. 16 ..)
[    5.019788] random 0096 0000 0000 afbde5f4 6befb217: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.019789] random 0096 0000 0000 afbde5f4 6befb217: extract_entropy(.. 16 ..)
[    5.019789] random 0096 0000 0000 afbde5f4 6befb217: trying to extract 128 bits from input
[    5.019790] random 0096 0000 0000 afbde5f4 6befb217: debiting 0 entropy credits from input
[    5.019791] random 0096 0000 0000 afbde5f4 6befb217: extract_entropy account returned: 0 
[    5.019791] random 0096 0000 0000 afbde5f4 6befb217: urand_change_num 1801 xfer_secondary_pool(16): pool_sig 000006e4, data_sig 00000000, bytes_mixed 0 afbde5f4 6befb217
[    5.019792] random 0096 0000 0000 afbde5f4 6befb217: trying to extract 128 bits from nonblocking
[    5.019792] random 0096 0000 0000 afbde5f4 6befb217: debiting 128 entropy credits from nonblocking (unlimited)
[    5.019793] random 0096 0000 0000 afbde5f4 6befb217: extract_entropy account returned: 16 
[    5.019793] random 0096 0000 0000 afbde5f4 6befb217: urand_change_num 1802 extract_buf: pool_sig 000006e4, data_sig fffffe50, bytes_mixed 20 afbde5f4 6befb217
[    5.019793] random 0096 0000 0000 314f7b6d 8efc7825: urand_change_num 1803 extract_buf: pool_sig 00000472, data_sig fffffdb2, bytes_mixed 20 314f7b6d 8efc7825
[    5.020041] random 0096 0000 0000 241806c2 eeedfe83: rand_read_num 599 get_random_bytes(16): sig fffffea6 241806c2 eeedfe83
[    5.020043] random 0096 0000 0000 241806c2 eeedfe83: extract_entropy(.. 16 ..)
[    5.020046] random 0096 0000 0000 241806c2 eeedfe83: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.020048] random 0096 0000 0000 241806c2 eeedfe83: extract_entropy(.. 16 ..)
[    5.020051] random 0096 0000 0000 241806c2 eeedfe83: trying to extract 128 bits from input
[    5.020053] random 0096 0000 0000 241806c2 eeedfe83: debiting 0 entropy credits from input
[    5.020055] random 0096 0000 0000 241806c2 eeedfe83: extract_entropy account returned: 0 
[    5.020058] random 0096 0000 0000 241806c2 eeedfe83: urand_change_num 1804 xfer_secondary_pool(16): pool_sig fffffea6, data_sig 00000000, bytes_mixed 0 241806c2 eeedfe83
[    5.020061] random 0096 0000 0000 241806c2 eeedfe83: trying to extract 128 bits from nonblocking
[    5.020063] random 0096 0000 0000 241806c2 eeedfe83: debiting 128 entropy credits from nonblocking (unlimited)
[    5.020066] random 0096 0000 0000 241806c2 eeedfe83: extract_entropy account returned: 16 
[    5.020069] random 0096 0000 0000 241806c2 eeedfe83: urand_change_num 1805 extract_buf: pool_sig fffffea6, data_sig ffffffef, bytes_mixed 20 241806c2 eeedfe83
[    5.020074] random 0096 0000 0000 241806c2 eeedfe83: urand_change_num 1806 extract_buf: pool_sig fffffe6a, data_sig 00000033, bytes_mixed 20 241806c2 eeedfe83
[    5.020259] random 0096 0000 0000 ba7f588a 6af78de2: add_disk_randomness(8:0) ba7f588a 6af78de2
[    5.020264] random 0096 0000 0000 ba7f588a 6af78de2: add_timer_randomness(.. 8388864) with jiffies: 2348301398044499949, cycles: 2348301393749615521
[    5.020660] random 0096 0000 0000 ba7f588a 6af78de2: rand_read_num 600 get_random_bytes(16): sig ffffff30 ba7f588a 6af78de2
[    5.020662] random 0096 0000 0000 ba7f588a 6af78de2: extract_entropy(.. 16 ..)
[    5.020665] random 0096 0000 0000 ba7f588a 6af78de2: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.020667] random 0096 0000 0000 ba7f588a 6af78de2: extract_entropy(.. 16 ..)
[    5.020670] random 0096 0000 0000 ba7f588a 6af78de2: trying to extract 128 bits from input
[    5.020672] random 0096 0000 0000 ba7f588a 6af78de2: debiting 0 entropy credits from input
[    5.020674] random 0096 0000 0000 ba7f588a 6af78de2: extract_entropy account returned: 0 
[    5.020677] random 0096 0000 0000 ba7f588a 6af78de2: urand_change_num 1807 xfer_secondary_pool(16): pool_sig ffffff30, data_sig 00000000, bytes_mixed 0 ba7f588a 6af78de2
[    5.020680] random 0096 0000 0000 ba7f588a 6af78de2: trying to extract 128 bits from nonblocking
[    5.020682] random 0096 0000 0000 ba7f588a 6af78de2: debiting 128 entropy credits from nonblocking (unlimited)
[    5.020685] random 0096 0000 0000 ba7f588a 6af78de2: extract_entropy account returned: 16 
[    5.020688] random 0096 0000 0000 ba7f588a 6af78de2: urand_change_num 1808 extract_buf: pool_sig ffffff30, data_sig 000001ab, bytes_mixed 20 ba7f588a 6af78de2
[    5.020693] random 0096 0000 0000 f72367b7 1a03a3c0: urand_change_num 1809 extract_buf: pool_sig 00000156, data_sig 000000c7, bytes_mixed 20 f72367b7 1a03a3c0
[    5.020790] random 0096 0000 0000 f72367b7 1a03a3c0: add_disk_randomness(8:0) f72367b7 1a03a3c0
[    5.020794] random 0096 0000 0000 f72367b7 1a03a3c0: add_timer_randomness(.. 8388864) with jiffies: 2353767697411399661, cycles: 2353767693116515233
[    5.021790] RANDOM get_random_int call with cycles 39174947123859, jiffies 4294893549 and pid 1
[    5.021899] random 0096 0000 0000 f72367b7 1a03a3c0: rand_read_num 601 get_random_bytes(16): sig fffff9f2 f72367b7 1a03a3c0
[    5.021902] random 0096 0000 0000 f72367b7 1a03a3c0: extract_entropy(.. 16 ..)
[    5.021905] random 0096 0000 0000 f72367b7 1a03a3c0: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.021908] random 0096 0000 0000 f72367b7 1a03a3c0: extract_entropy(.. 16 ..)
[    5.021910] random 0096 0000 0000 f72367b7 1a03a3c0: trying to extract 128 bits from input
[    5.021912] random 0096 0000 0000 f72367b7 1a03a3c0: debiting 0 entropy credits from input
[    5.021914] random 0096 0000 0000 f72367b7 1a03a3c0: extract_entropy account returned: 0 
[    5.021918] random 0096 0000 0000 f72367b7 1a03a3c0: urand_change_num 1810 xfer_secondary_pool(16): pool_sig fffff9f2, data_sig 00000000, bytes_mixed 0 f72367b7 1a03a3c0
[    5.021921] random 0096 0000 0000 f72367b7 1a03a3c0: trying to extract 128 bits from nonblocking
[    5.021923] random 0096 0000 0000 f72367b7 1a03a3c0: debiting 128 entropy credits from nonblocking (unlimited)
[    5.021925] random 0096 0000 0000 f72367b7 1a03a3c0: extract_entropy account returned: 16 
[    5.021929] random 0096 0000 0000 f72367b7 1a03a3c0: urand_change_num 1811 extract_buf: pool_sig fffff9f2, data_sig 00000075, bytes_mixed 20 f72367b7 1a03a3c0
[    5.021934] random 0096 0000 0000 fcadfd6f de97eeb5: urand_change_num 1812 extract_buf: pool_sig fffffb49, data_sig 000000f7, bytes_mixed 20 fcadfd6f de97eeb5
[    5.022269] random 0096 0000 0000 fcadfd6f de97eeb5: add_disk_randomness(8:0) fcadfd6f de97eeb5
[    5.022273] random 0096 0000 0000 fcadfd6f de97eeb5: add_timer_randomness(.. 8388864) with jiffies: 2368996848284131309, cycles: 2368996843989246881
[    5.022554] random 0096 0000 0000 fcadfd6f de97eeb5: rand_read_num 602 get_random_bytes(16): sig fffffaf4 fcadfd6f de97eeb5
[    5.022557] random 0096 0000 0000 fcadfd6f de97eeb5: extract_entropy(.. 16 ..)
[    5.022559] random 0096 0000 0000 fcadfd6f de97eeb5: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.022562] random 0096 0000 0000 fcadfd6f de97eeb5: extract_entropy(.. 16 ..)
[    5.022564] random 0096 0000 0000 fcadfd6f de97eeb5: trying to extract 128 bits from input
[    5.022566] random 0096 0000 0000 fcadfd6f de97eeb5: debiting 0 entropy credits from input
[    5.022568] random 0096 0000 0000 fcadfd6f de97eeb5: extract_entropy account returned: 0 
[    5.022571] random 0096 0000 0000 fcadfd6f de97eeb5: urand_change_num 1813 xfer_secondary_pool(16): pool_sig fffffaf4, data_sig 00000000, bytes_mixed 0 fcadfd6f de97eeb5
[    5.022574] random 0096 0000 0000 fcadfd6f de97eeb5: trying to extract 128 bits from nonblocking
[    5.022577] random 0096 0000 0000 fcadfd6f de97eeb5: debiting 128 entropy credits from nonblocking (unlimited)
[    5.022579] random 0096 0000 0000 fcadfd6f de97eeb5: extract_entropy account returned: 16 
[    5.022583] random 0096 0000 0000 fcadfd6f de97eeb5: urand_change_num 1814 extract_buf: pool_sig fffffaf4, data_sig ffffff4d, bytes_mixed 20 fcadfd6f de97eeb5
[    5.022587] random 0096 0000 0000 8b3a38e1 44eb98ca: urand_change_num 1815 extract_buf: pool_sig 0000003d, data_sig 000000ba, bytes_mixed 20 8b3a38e1 44eb98ca
[    5.023032] random 0096 0000 0000 1ee67361 59709695: add_disk_randomness(8:0) 1ee67361 59709695
[    5.023036] random 0096 0000 0000 1ee67361 59709695: add_timer_randomness(.. 8388864) with jiffies: 2376856518176727021, cycles: 2376856513881842593
[    5.023832] random 0096 0000 0000 1ee67361 59709695: add_disk_randomness(8:0) 1ee67361 59709695
[    5.023837] random 0096 0000 0000 1ee67361 59709695: add_timer_randomness(.. 8388864) with jiffies: 2385103216162299886, cycles: 2385103211867415457
[    5.023844] random 0096 0000 0000 1ee67361 59709695: add_disk_randomness(8:0) 1ee67361 59709695
[    5.023847] random 0096 0000 0000 1ee67361 59709695: add_timer_randomness(.. 8388864) with jiffies: 2385220327035559918, cycles: 2385220322740675489
[    5.024023] random 0096 0000 0000 1ee67361 59709695: add_disk_randomness(8:0) 1ee67361 59709695
[    5.024027] random 0096 0000 0000 1ee67361 59709695: add_timer_randomness(.. 8388864) with jiffies: 2387067012648984558, cycles: 2387067008354100129
[    5.024312] random 0096 0000 0000 1ee67361 59709695: add_disk_randomness(8:0) 1ee67361 59709695
[    5.024315] random 0096 0000 0000 1ee67361 59709695: add_timer_randomness(.. 8388864) with jiffies: 2390037918837039086, cycles: 2390037914542154657
[    5.024324] random 0096 0000 0000 1ee67361 59709695: rand_read_num 603 get_random_bytes(16): sig 0000009a 1ee67361 59709695
[    5.024326] random 0096 0000 0000 1ee67361 59709695: extract_entropy(.. 16 ..)
[    5.024329] random 0096 0000 0000 1ee67361 59709695: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.024331] random 0096 0000 0000 1ee67361 59709695: extract_entropy(.. 16 ..)
[    5.024333] random 0096 0000 0000 1ee67361 59709695: trying to extract 128 bits from input
[    5.024336] random 0096 0000 0000 1ee67361 59709695: debiting 0 entropy credits from input
[    5.024338] random 0096 0000 0000 1ee67361 59709695: extract_entropy account returned: 0 
[    5.024341] random 0096 0000 0000 1ee67361 59709695: urand_change_num 1816 xfer_secondary_pool(16): pool_sig 0000009a, data_sig 00000000, bytes_mixed 0 1ee67361 59709695
[    5.024344] random 0096 0000 0000 1ee67361 59709695: trying to extract 128 bits from nonblocking
[    5.024347] random 0096 0000 0000 1ee67361 59709695: debiting 128 entropy credits from nonblocking (unlimited)
[    5.024349] random 0096 0000 0000 1ee67361 59709695: extract_entropy account returned: 16 
[    5.024353] random 0096 0000 0000 1ee67361 59709695: urand_change_num 1817 extract_buf: pool_sig 0000009a, data_sig 000000cb, bytes_mixed 20 1ee67361 59709695
[    5.024357] random 0096 0000 0000 1ee67361 59709695: urand_change_num 1818 extract_buf: pool_sig 00000205, data_sig ffffff9e, bytes_mixed 20 1ee67361 59709695
[    5.024756] random 0096 0000 0000 2c47ac5c 988fb636: add_disk_randomness(8:0) 2c47ac5c 988fb636
[    5.024761] random 0096 0000 0000 2c47ac5c 988fb636: add_timer_randomness(.. 8388864) with jiffies: 2394623457850482670, cycles: 2394623453555598241
[    5.025004] random 0096 0000 0000 2c47ac5c 988fb636: add_disk_randomness(8:0) 2c47ac5c 988fb636
[    5.025007] random 0096 0000 0000 2c47ac5c 988fb636: add_timer_randomness(.. 8388864) with jiffies: 2397167628972908526, cycles: 2397167624678024097
[    5.025066] random 0096 0000 0000 2c47ac5c 988fb636: rand_read_num 604 get_random_bytes(16): sig fffffeba 2c47ac5c 988fb636
[    5.025068] random 0096 0000 0000 2c47ac5c 988fb636: extract_entropy(.. 16 ..)
[    5.025071] random 0096 0000 0000 2c47ac5c 988fb636: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.025073] random 0096 0000 0000 2c47ac5c 988fb636: extract_entropy(.. 16 ..)
[    5.025076] random 0096 0000 0000 2c47ac5c 988fb636: trying to extract 128 bits from input
[    5.025078] random 0096 0000 0000 2c47ac5c 988fb636: debiting 0 entropy credits from input
[    5.025080] random 0096 0000 0000 2c47ac5c 988fb636: extract_entropy account returned: 0 
[    5.025083] random 0096 0000 0000 2c47ac5c 988fb636: urand_change_num 1819 xfer_secondary_pool(16): pool_sig fffffeba, data_sig 00000000, bytes_mixed 0 2c47ac5c 988fb636
[    5.025086] random 0096 0000 0000 2c47ac5c 988fb636: trying to extract 128 bits from nonblocking
[    5.025089] random 0096 0000 0000 2c47ac5c 988fb636: debiting 128 entropy credits from nonblocking (unlimited)
[    5.025091] random 0096 0000 0000 2c47ac5c 988fb636: extract_entropy account returned: 16 
[    5.025095] random 0096 0000 0000 2c47ac5c 988fb636: urand_change_num 1820 extract_buf: pool_sig fffffeba, data_sig 0000009d, bytes_mixed 20 2c47ac5c 988fb636
[    5.025099] random 0096 0000 0000 46c85290 9438c61b: urand_change_num 1821 extract_buf: pool_sig fffffdac, data_sig fffffecb, bytes_mixed 20 46c85290 9438c61b
[    5.025854] random 0096 0000 0000 46c85290 9438c61b: add_disk_randomness(8:0) 46c85290 9438c61b
[    5.025858] random 0096 0000 0000 46c85290 9438c61b: add_timer_randomness(.. 8388864) with jiffies: 2405922692172537838, cycles: 2405922687877653409
[    5.026665] random 0096 0000 0000 46c85290 9438c61b: add_disk_randomness(8:0) 46c85290 9438c61b
[    5.026669] random 0096 0000 0000 46c85290 9438c61b: add_timer_randomness(.. 8388864) with jiffies: 2414277726413185006, cycles: 2414277722118300577
[    5.026793] random 0096 0000 0000 46c85290 9438c61b: add_disk_randomness(8:0) 46c85290 9438c61b
[    5.026798] random 0096 0000 0000 46c85290 9438c61b: add_timer_randomness(.. 8388864) with jiffies: 2415605756070911982, cycles: 2415605751776027553
[    5.032228] RANDOM get_random_int call with cycles 39174972157145, jiffies 4294893552 and pid 1
[    5.032548] random 0096 0000 0000 46c85290 9438c61b: rand_read_num 605 get_random_bytes(16): sig fffffd0f 46c85290 9438c61b
[    5.032551] random 0096 0000 0000 46c85290 9438c61b: extract_entropy(.. 16 ..)
[    5.032554] random 0096 0000 0000 46c85290 9438c61b: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.032557] random 0096 0000 0000 46c85290 9438c61b: extract_entropy(.. 16 ..)
[    5.032559] random 0096 0000 0000 46c85290 9438c61b: trying to extract 128 bits from input
[    5.032561] random 0096 0000 0000 46c85290 9438c61b: debiting 0 entropy credits from input
[    5.032564] random 0096 0000 0000 46c85290 9438c61b: extract_entropy account returned: 0 
[    5.032567] random 0096 0000 0000 46c85290 9438c61b: urand_change_num 1822 xfer_secondary_pool(16): pool_sig fffffd0f, data_sig 00000000, bytes_mixed 0 46c85290 9438c61b
[    5.032570] random 0096 0000 0000 46c85290 9438c61b: trying to extract 128 bits from nonblocking
[    5.032572] random 0096 0000 0000 46c85290 9438c61b: debiting 128 entropy credits from nonblocking (unlimited)
[    5.032575] random 0096 0000 0000 46c85290 9438c61b: extract_entropy account returned: 16 
[    5.032578] random 0096 0000 0000 46c85290 9438c61b: urand_change_num 1823 extract_buf: pool_sig fffffd0f, data_sig 000001d6, bytes_mixed 20 46c85290 9438c61b
[    5.032583] random 0096 0000 0000 7093c724 19ed5ad4: urand_change_num 1824 extract_buf: pool_sig 00000125, data_sig 0000020d, bytes_mixed 20 7093c724 19ed5ad4
[    5.032958] random 0096 0000 0000 7093c724 19ed5ad4: rand_read_num 606 get_random_bytes(16): sig 00000083 7093c724 19ed5ad4
[    5.032960] random 0096 0000 0000 7093c724 19ed5ad4: extract_entropy(.. 16 ..)
[    5.032963] random 0096 0000 0000 7093c724 19ed5ad4: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.032965] random 0096 0000 0000 7093c724 19ed5ad4: extract_entropy(.. 16 ..)
[    5.032968] random 0096 0000 0000 7093c724 19ed5ad4: trying to extract 128 bits from input
[    5.032970] random 0096 0000 0000 7093c724 19ed5ad4: debiting 0 entropy credits from input
[    5.032972] random 0096 0000 0000 7093c724 19ed5ad4: extract_entropy account returned: 0 
[    5.032975] random 0096 0000 0000 7093c724 19ed5ad4: urand_change_num 1825 xfer_secondary_pool(16): pool_sig 00000083, data_sig 00000000, bytes_mixed 0 7093c724 19ed5ad4
[    5.032978] random 0096 0000 0000 7093c724 19ed5ad4: trying to extract 128 bits from nonblocking
[    5.032981] random 0096 0000 0000 7093c724 19ed5ad4: debiting 128 entropy credits from nonblocking (unlimited)
[    5.032983] random 0096 0000 0000 7093c724 19ed5ad4: extract_entropy account returned: 16 
[    5.032986] random 0096 0000 0000 7093c724 19ed5ad4: urand_change_num 1826 extract_buf: pool_sig 00000083, data_sig 000000b5, bytes_mixed 20 7093c724 19ed5ad4
[    5.032991] random 0096 0000 0000 db85e27c 5de2f7c2: urand_change_num 1827 extract_buf: pool_sig ffffffbc, data_sig ffffff19, bytes_mixed 20 db85e27c 5de2f7c2
[    5.033327] random 0096 0000 0000 d1160370 ac00643b: rand_read_num 607 get_random_bytes(16): sig fffffd82 d1160370 ac00643b
[    5.033329] random 0096 0000 0000 d1160370 ac00643b: extract_entropy(.. 16 ..)
[    5.033332] random 0096 0000 0000 d1160370 ac00643b: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.033334] random 0096 0000 0000 d1160370 ac00643b: extract_entropy(.. 16 ..)
[    5.033336] random 0096 0000 0000 d1160370 ac00643b: trying to extract 128 bits from input
[    5.033339] random 0096 0000 0000 d1160370 ac00643b: debiting 0 entropy credits from input
[    5.033341] random 0096 0000 0000 d1160370 ac00643b: extract_entropy account returned: 0 
[    5.033344] random 0096 0000 0000 d1160370 ac00643b: urand_change_num 1828 xfer_secondary_pool(16): pool_sig fffffd82, data_sig 00000000, bytes_mixed 0 d1160370 ac00643b
[    5.033347] random 0096 0000 0000 d1160370 ac00643b: trying to extract 128 bits from nonblocking
[    5.033349] random 0096 0000 0000 d1160370 ac00643b: debiting 128 entropy credits from nonblocking (unlimited)
[    5.033351] random 0096 0000 0000 d1160370 ac00643b: extract_entropy account returned: 16 
[    5.033355] random 0096 0000 0000 d1160370 ac00643b: urand_change_num 1829 extract_buf: pool_sig fffffd82, data_sig fffffd9b, bytes_mixed 20 d1160370 ac00643b
[    5.033360] random 0096 0000 0000 d1160370 ac00643b: urand_change_num 1830 extract_buf: pool_sig ffffffe5, data_sig 00000139, bytes_mixed 20 d1160370 ac00643b
[    5.034259] Bluetooth: Core ver 2.15
[    5.034459] random 0096 0000 0000 2c4968e9 25529300: rand_read_num 608 get_random_bytes(16): sig fffffc0e 2c4968e9 25529300
[    5.034461] random 0096 0000 0000 2c4968e9 25529300: extract_entropy(.. 16 ..)
[    5.034464] random 0096 0000 0000 2c4968e9 25529300: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.034466] random 0096 0000 0000 2c4968e9 25529300: extract_entropy(.. 16 ..)
[    5.034469] random 0096 0000 0000 2c4968e9 25529300: trying to extract 128 bits from input
[    5.034471] random 0096 0000 0000 2c4968e9 25529300: debiting 0 entropy credits from input
[    5.034473] random 0096 0000 0000 2c4968e9 25529300: extract_entropy account returned: 0 
[    5.034476] random 0096 0000 0000 2c4968e9 25529300: urand_change_num 1831 xfer_secondary_pool(16): pool_sig fffffc0e, data_sig 00000000, bytes_mixed 0 2c4968e9 25529300
[    5.034479] random 0096 0000 0000 2c4968e9 25529300: trying to extract 128 bits from nonblocking
[    5.034482] random 0096 0000 0000 2c4968e9 25529300: debiting 128 entropy credits from nonblocking (unlimited)
[    5.034484] random 0096 0000 0000 2c4968e9 25529300: extract_entropy account returned: 16 
[    5.034488] random 0096 0000 0000 2c4968e9 25529300: urand_change_num 1832 extract_buf: pool_sig fffffc0e, data_sig 00000093, bytes_mixed 20 2c4968e9 25529300
[    5.034492] random 0096 0000 0000 e35df9b1 91a392e4: urand_change_num 1833 extract_buf: pool_sig fffffc9b, data_sig fffffe59, bytes_mixed 20 e35df9b1 91a392e4
[    5.035053] random 0096 0000 0000 e35df9b1 91a392e4: rand_read_num 609 get_random_bytes(16): sig fffffe6a e35df9b1 91a392e4
[    5.035055] random 0096 0000 0000 e35df9b1 91a392e4: extract_entropy(.. 16 ..)
