
<7>[    3.371917] random 0031 0000 0000 cadf44cd e6e5b548: add_timer_randomness(.. 8388864) with jiffies: 16272799613235158608, cycles: -2173944464769282691
[    4.621037] random 0072 0000 0000 d6ffa49c d5a4870f: rand_read_num 410 get_random_bytes(16): sig fffffc99 d6ffa49c d5a4870f
[    4.621040] random 0072 0000 0000 d6ffa49c d5a4870f: extract_entropy(.. 16 ..)
[    4.621043] random 0072 0000 0000 d6ffa49c d5a4870f: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.621045] random 0072 0000 0000 d6ffa49c d5a4870f: extract_entropy(.. 16 ..)
[    4.621048] random 0072 0000 0000 d6ffa49c d5a4870f: trying to extract 128 bits from input
[    4.621050] random 0072 0000 0000 d6ffa49c d5a4870f: debiting 0 entropy credits from input
[    4.621052] random 0072 0000 0000 d6ffa49c d5a4870f: extract_entropy account returned: 0 
[    4.621055] random 0072 0000 0000 d6ffa49c d5a4870f: urand_change_num 1237 xfer_secondary_pool(16): pool_sig fffffc99, data_sig 00000000, bytes_mixed 0 d6ffa49c d5a4870f
[    4.621058] random 0072 0000 0000 d6ffa49c d5a4870f: trying to extract 128 bits from nonblocking
[    4.621061] random 0072 0000 0000 d6ffa49c d5a4870f: debiting 128 entropy credits from nonblocking (unlimited)
[    4.621063] random 0072 0000 0000 d6ffa49c d5a4870f: extract_entropy account returned: 16 
[    4.621067] random 0072 0000 0000 d6ffa49c d5a4870f: urand_change_num 1238 extract_buf: pool_sig fffffc99, data_sig ffffff7a, bytes_mixed 20 d6ffa49c d5a4870f
[    4.621071] random 0072 0000 0000 f654974f 301ecc86: urand_change_num 1239 extract_buf: pool_sig fffffca5, data_sig 00000295, bytes_mixed 20 f654974f 301ecc86
[    4.621595] random 0072 0000 0000 1bce3ff1 2562e7ee: add_disk_randomness(8:0) 1bce3ff1 2562e7ee
[    4.621599] random 0072 0000 0000 1bce3ff1 2562e7ee: add_timer_randomness(.. 8388864) with jiffies: 10697709175699333001, cycles: -7749034902305108610
[    4.621656] random 0072 0000 0000 1bce3ff1 2562e7ee: add_disk_randomness(8:0) 1bce3ff1 2562e7ee
[    4.621660] random 0072 0000 0000 1bce3ff1 2562e7ee: add_timer_randomness(.. 8388864) with jiffies: 10698342713440264073, cycles: -7748401364564177538
[    4.621790] random 0072 0000 0000 1bce3ff1 2562e7ee: rand_read_num 411 get_random_bytes(16): sig ffffff0c 1bce3ff1 2562e7ee
[    4.621792] random 0072 0000 0000 1bce3ff1 2562e7ee: extract_entropy(.. 16 ..)
[    4.621795] random 0072 0000 0000 1bce3ff1 2562e7ee: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.621797] random 0072 0000 0000 1bce3ff1 2562e7ee: extract_entropy(.. 16 ..)
[    4.621800] random 0072 0000 0000 1bce3ff1 2562e7ee: trying to extract 128 bits from input
[    4.621802] random 0072 0000 0000 1bce3ff1 2562e7ee: debiting 0 entropy credits from input
[    4.621804] random 0072 0000 0000 1bce3ff1 2562e7ee: extract_entropy account returned: 0 
[    4.621807] random 0072 0000 0000 1bce3ff1 2562e7ee: urand_change_num 1240 xfer_secondary_pool(16): pool_sig ffffff0c, data_sig 00000000, bytes_mixed 0 1bce3ff1 2562e7ee
[    4.621810] random 0072 0000 0000 1bce3ff1 2562e7ee: trying to extract 128 bits from nonblocking
[    4.621813] random 0072 0000 0000 1bce3ff1 2562e7ee: debiting 128 entropy credits from nonblocking (unlimited)
[    4.621815] random 0072 0000 0000 1bce3ff1 2562e7ee: extract_entropy account returned: 16 
[    4.621819] random 0072 0000 0000 1bce3ff1 2562e7ee: urand_change_num 1241 extract_buf: pool_sig ffffff0c, data_sig ffffff99, bytes_mixed 20 1bce3ff1 2562e7ee
[    4.621823] random 0072 0000 0000 1bce3ff1 2562e7ee: urand_change_num 1242 extract_buf: pool_sig fffff8ac, data_sig 0000001f, bytes_mixed 20 1bce3ff1 2562e7ee
[    4.622354] random 0072 0000 0000 960ba10c 7e5f4064: rand_read_num 412 get_random_bytes(16): sig 000002aa 960ba10c 7e5f4064
[    4.622359] random 0072 0000 0000 960ba10c 7e5f4064: extract_entropy(.. 16 ..)
[    4.622363] random 0072 0000 0000 960ba10c 7e5f4064: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.622367] random 0072 0000 0000 960ba10c 7e5f4064: extract_entropy(.. 16 ..)
[    4.622371] random 0072 0000 0000 960ba10c 7e5f4064: trying to extract 128 bits from input
[    4.622375] random 0072 0000 0000 960ba10c 7e5f4064: debiting 0 entropy credits from input
[    4.622378] random 0072 0000 0000 960ba10c 7e5f4064: extract_entropy account returned: 0 
[    4.622383] random 0072 0000 0000 960ba10c 7e5f4064: urand_change_num 1243 xfer_secondary_pool(16): pool_sig 000002aa, data_sig 00000000, bytes_mixed 0 960ba10c 7e5f4064
[    4.622388] random 0072 0000 0000 960ba10c 7e5f4064: trying to extract 128 bits from nonblocking
[    4.622393] random 0072 0000 0000 960ba10c 7e5f4064: debiting 128 entropy credits from nonblocking (unlimited)
[    4.622396] random 0072 0000 0000 960ba10c 7e5f4064: extract_entropy account returned: 16 
[    4.622401] random 0072 0000 0000 960ba10c 7e5f4064: urand_change_num 1244 extract_buf: pool_sig 000002aa, data_sig ffffff3d, bytes_mixed 20 960ba10c 7e5f4064
[    4.622408] random 0072 0000 0000 c3c10ef9 5419d5f4: urand_change_num 1245 extract_buf: pool_sig 000002af, data_sig 000000b6, bytes_mixed 20 c3c10ef9 5419d5f4
[    4.622491] random 0072 0000 0000 c3c10ef9 5419d5f4: add_disk_randomness(8:0) c3c10ef9 5419d5f4
[    4.622495] random 0072 0000 0000 c3c10ef9 5419d5f4: add_timer_randomness(.. 8388864) with jiffies: 10706944368998014857, cycles: -7739799709006426754
[    4.623593] random 0072 0000 0000 c3c10ef9 5419d5f4: rand_read_num 413 get_random_bytes(16): sig 00000253 c3c10ef9 5419d5f4
[    4.623596] random 0072 0000 0000 c3c10ef9 5419d5f4: extract_entropy(.. 16 ..)
[    4.623599] random 0072 0000 0000 c3c10ef9 5419d5f4: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.623601] random 0072 0000 0000 c3c10ef9 5419d5f4: extract_entropy(.. 16 ..)
[    4.623604] random 0072 0000 0000 c3c10ef9 5419d5f4: trying to extract 128 bits from input
[    4.623606] random 0072 0000 0000 c3c10ef9 5419d5f4: debiting 0 entropy credits from input
[    4.623609] random 0072 0000 0000 c3c10ef9 5419d5f4: extract_entropy account returned: 0 
[    4.623612] random 0072 0000 0000 c3c10ef9 5419d5f4: urand_change_num 1246 xfer_secondary_pool(16): pool_sig 00000253, data_sig 00000000, bytes_mixed 0 c3c10ef9 5419d5f4
[    4.623614] random 0072 0000 0000 c3c10ef9 5419d5f4: trying to extract 128 bits from nonblocking
[    4.623617] random 0072 0000 0000 c3c10ef9 5419d5f4: debiting 128 entropy credits from nonblocking (unlimited)
[    4.623619] random 0072 0000 0000 c3c10ef9 5419d5f4: extract_entropy account returned: 16 
[    4.623623] random 0072 0000 0000 c3c10ef9 5419d5f4: urand_change_num 1247 extract_buf: pool_sig 00000253, data_sig fffffe99, bytes_mixed 20 c3c10ef9 5419d5f4
[    4.623628] random 0072 0000 0000 c0150338 52848d3c: urand_change_num 1248 extract_buf: pool_sig fffffd06, data_sig 000000c4, bytes_mixed 20 c0150338 52848d3c
[    4.624461] random 0072 0000 0000 c0150338 52848d3c: rand_read_num 414 get_random_bytes(16): sig fffff990 c0150338 52848d3c
[    4.624464] random 0072 0000 0000 c0150338 52848d3c: extract_entropy(.. 16 ..)
[    4.624467] random 0072 0000 0000 c0150338 52848d3c: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.624469] random 0072 0000 0000 c0150338 52848d3c: extract_entropy(.. 16 ..)
[    4.624472] random 0072 0000 0000 c0150338 52848d3c: trying to extract 128 bits from input
[    4.624474] random 0072 0000 0000 c0150338 52848d3c: debiting 0 entropy credits from input
[    4.624476] random 0072 0000 0000 c0150338 52848d3c: extract_entropy account returned: 0 
[    4.624479] random 0072 0000 0000 c0150338 52848d3c: urand_change_num 1249 xfer_secondary_pool(16): pool_sig fffff990, data_sig 00000000, bytes_mixed 0 c0150338 52848d3c
[    4.624482] random 0072 0000 0000 c0150338 52848d3c: trying to extract 128 bits from nonblocking
[    4.624485] random 0072 0000 0000 c0150338 52848d3c: debiting 128 entropy credits from nonblocking (unlimited)
[    4.624487] random 0072 0000 0000 c0150338 52848d3c: extract_entropy account returned: 16 
[    4.624491] random 0072 0000 0000 c0150338 52848d3c: urand_change_num 1250 extract_buf: pool_sig fffff990, data_sig 000002a7, bytes_mixed 20 c0150338 52848d3c
[    4.624495] random 0072 0000 0000 aa65817d 0e5cd06a: urand_change_num 1251 extract_buf: pool_sig fffffbb9, data_sig fffffeae, bytes_mixed 20 aa65817d 0e5cd06a
[    4.626503] random 0072 0000 0000 871d280e 24242e60: rand_read_num 415 get_random_bytes(16): sig fffffbd7 871d280e 24242e60
[    4.626507] random 0072 0000 0000 871d280e 24242e60: extract_entropy(.. 16 ..)
[    4.626509] random 0072 0000 0000 871d280e 24242e60: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.626512] random 0072 0000 0000 871d280e 24242e60: extract_entropy(.. 16 ..)
[    4.626514] random 0072 0000 0000 871d280e 24242e60: trying to extract 128 bits from input
[    4.626517] random 0072 0000 0000 871d280e 24242e60: debiting 0 entropy credits from input
[    4.626519] random 0072 0000 0000 871d280e 24242e60: extract_entropy account returned: 0 
[    4.626522] random 0072 0000 0000 871d280e 24242e60: urand_change_num 1252 xfer_secondary_pool(16): pool_sig fffffbd7, data_sig 00000000, bytes_mixed 0 871d280e 24242e60
[    4.626525] random 0072 0000 0000 871d280e 24242e60: trying to extract 128 bits from nonblocking
[    4.626528] random 0072 0000 0000 871d280e 24242e60: debiting 128 entropy credits from nonblocking (unlimited)
[    4.626530] random 0072 0000 0000 871d280e 24242e60: extract_entropy account returned: 16 
[    4.626534] random 0072 0000 0000 871d280e 24242e60: urand_change_num 1253 extract_buf: pool_sig fffffbd7, data_sig fffffee1, bytes_mixed 20 871d280e 24242e60
[    4.626539] random 0072 0000 0000 871d280e 24242e60: urand_change_num 1254 extract_buf: pool_sig 0000001f, data_sig 0000000f, bytes_mixed 20 871d280e 24242e60
[    4.626830] random 0072 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.626834] random 0072 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10751633452173287307, cycles: -7695110625831154306
[    4.626837] random 0072 0000 0000 88553cae dc946224: added 1 entropy credits to input
[    4.627507] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.627511] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10758603080288100235, cycles: -7688140997716341378
[    4.627573] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.627577] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10759282050193088395, cycles: -7687462027811353218
[    4.627633] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.627637] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10759900924915670923, cycles: -7686843153088770690
[    4.627693] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.627697] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10760524322238816139, cycles: -7686219755765625474
[    4.627751] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.627755] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10761123431521902475, cycles: -7685620646482539138
[    4.627810] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.627813] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10761723197934985099, cycles: -7685020880069456514
[    4.627868] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.627872] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10762321933555916683, cycles: -7684422144448524930
[    4.627945] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.627949] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10763119792450625419, cycles: -7683624285553816194
[    4.628035] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628039] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10764047969243029387, cycles: -7682696108761412226
[    4.628099] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628103] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10764706606772838283, cycles: -7682037471231603330
[    4.628160] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628164] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10765335815186734987, cycles: -7681408262817706626
[    4.628221] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628225] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10765958864617529227, cycles: -7680785213386912386
[    4.628282] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628286] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10766590856170233739, cycles: -7680153221834207874
[    4.628360] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628364] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10767391562628259723, cycles: -7679352515376181890
[    4.628435] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628438] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10768160378954112907, cycles: -7678583699050328706
[    4.628496] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628500] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10768796004049149835, cycles: -7677948073955291778
[    4.628557] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628560] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10769418293270732683, cycles: -7677325784733708930
[    4.628617] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628621] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10770039049188990859, cycles: -7676705028815450754
[    4.628678] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628682] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10770668167408574347, cycles: -7676075910595867266
[    4.628739] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628743] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10771295378662678411, cycles: -7675448699341763202
[    4.628800] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628803] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10771920283519344523, cycles: -7674823794485097090
[    4.628860] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628864] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10772544660095033227, cycles: -7674199417909408386
[    4.628921] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.628925] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10773172799062073227, cycles: -7673571278942368386
[    4.628977] usbcore: registered new interface driver hiddev
[    4.629446] random 0073 0000 0000 88553cae dc946224: add_disk_randomness(8:0) 88553cae dc946224
[    4.629450] random 0073 0000 0000 88553cae dc946224: add_timer_randomness(.. 8388864) with jiffies: 10778580192952508299, cycles: -7668163885051933314
[    4.630163] random 0073 0000 0000 88553cae dc946224: rand_read_num 416 get_random_bytes(16): sig ffffff38 88553cae dc946224
[    4.630166] random 0073 0000 0000 88553cae dc946224: extract_entropy(.. 16 ..)
[    4.630168] random 0073 0000 0000 88553cae dc946224: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.630171] random 0073 0000 0000 88553cae dc946224: extract_entropy(.. 16 ..)
[    4.630173] random 0073 0000 0000 88553cae dc946224: trying to extract 128 bits from input
[    4.630176] random 0073 0000 0000 88553cae dc946224: debiting 0 entropy credits from input
[    4.630178] random 0073 0000 0000 88553cae dc946224: extract_entropy account returned: 0 
[    4.630181] random 0073 0000 0000 88553cae dc946224: urand_change_num 1255 xfer_secondary_pool(16): pool_sig ffffff38, data_sig 00000000, bytes_mixed 0 88553cae dc946224
[    4.630184] random 0073 0000 0000 88553cae dc946224: trying to extract 128 bits from nonblocking
[    4.630186] random 0073 0000 0000 88553cae dc946224: debiting 128 entropy credits from nonblocking (unlimited)
[    4.630189] random 0073 0000 0000 88553cae dc946224: extract_entropy account returned: 16 
[    4.630192] random 0073 0000 0000 88553cae dc946224: urand_change_num 1256 extract_buf: pool_sig ffffff38, data_sig 000001a3, bytes_mixed 20 88553cae dc946224
[    4.630197] random 0073 0000 0000 9fa645c5 4bef9c72: urand_change_num 1257 extract_buf: pool_sig fffff8fb, data_sig 000002b9, bytes_mixed 20 9fa645c5 4bef9c72
[    4.630747] random 0073 0000 0000 9fa645c5 4bef9c72: add_disk_randomness(8:0) 9fa645c5 4bef9c72
[    4.630751] random 0073 0000 0000 9fa645c5 4bef9c72: add_timer_randomness(.. 8388864) with jiffies: 10791978674144862092, cycles: -7654765403859579522
[    4.631417] random 0073 0000 0000 9fa645c5 4bef9c72: add_disk_randomness(8:0) 9fa645c5 4bef9c72
[    4.631421] random 0073 0000 0000 9fa645c5 4bef9c72: add_timer_randomness(.. 8388864) with jiffies: 10798877637162753932, cycles: -7647866440841687682
[    4.632595] random 0073 0000 0000 9fa645c5 4bef9c72: rand_read_num 417 get_random_bytes(16): sig fffffa69 9fa645c5 4bef9c72
[    4.632597] random 0073 0000 0000 9fa645c5 4bef9c72: extract_entropy(.. 16 ..)
[    4.632600] random 0073 0000 0000 9fa645c5 4bef9c72: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.632602] random 0073 0000 0000 9fa645c5 4bef9c72: extract_entropy(.. 16 ..)
[    4.632605] random 0073 0000 0000 9fa645c5 4bef9c72: trying to extract 128 bits from input
[    4.632607] random 0073 0000 0000 9fa645c5 4bef9c72: debiting 0 entropy credits from input
[    4.632609] random 0073 0000 0000 9fa645c5 4bef9c72: extract_entropy account returned: 0 
[    4.632613] random 0073 0000 0000 9fa645c5 4bef9c72: urand_change_num 1258 xfer_secondary_pool(16): pool_sig fffffa69, data_sig 00000000, bytes_mixed 0 9fa645c5 4bef9c72
[    4.632615] random 0073 0000 0000 9fa645c5 4bef9c72: trying to extract 128 bits from nonblocking
[    4.632618] random 0073 0000 0000 9fa645c5 4bef9c72: debiting 128 entropy credits from nonblocking (unlimited)
[    4.632620] random 0073 0000 0000 9fa645c5 4bef9c72: extract_entropy account returned: 16 
[    4.632624] random 0073 0000 0000 9fa645c5 4bef9c72: urand_change_num 1259 extract_buf: pool_sig fffffa69, data_sig ffffff28, bytes_mixed 20 9fa645c5 4bef9c72
[    4.632628] random 0073 0000 0000 88bd0bb1 9f615a9e: urand_change_num 1260 extract_buf: pool_sig fffffceb, data_sig fffffd75, bytes_mixed 20 88bd0bb1 9f615a9e
[    4.635854] random 0073 0000 0000 88bd0bb1 9f615a9e: add_disk_randomness(11:0) 88bd0bb1 9f615a9e
[    4.635858] random 0073 0000 0000 88bd0bb1 9f615a9e: add_timer_randomness(.. 11534592) with jiffies: 10844576733437288333, cycles: -7602167344567153282
[    4.635861] random 0073 0000 0000 88bd0bb1 9f615a9e: added 2 entropy credits to input
[    4.636658] random 0075 0000 0000 88bd0bb1 9f615a9e: rand_read_num 418 get_random_bytes(16): sig fffffb8e 88bd0bb1 9f615a9e
[    4.636661] random 0075 0000 0000 88bd0bb1 9f615a9e: extract_entropy(.. 16 ..)
[    4.636664] random 0075 0000 0000 88bd0bb1 9f615a9e: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.636666] random 0075 0000 0000 88bd0bb1 9f615a9e: extract_entropy(.. 16 ..)
[    4.636669] random 0075 0000 0000 88bd0bb1 9f615a9e: trying to extract 128 bits from input
[    4.636671] random 0075 0000 0000 88bd0bb1 9f615a9e: debiting 0 entropy credits from input
[    4.636673] random 0075 0000 0000 88bd0bb1 9f615a9e: extract_entropy account returned: 0 
[    4.636677] random 0075 0000 0000 88bd0bb1 9f615a9e: urand_change_num 1261 xfer_secondary_pool(16): pool_sig fffffb8e, data_sig 00000000, bytes_mixed 0 88bd0bb1 9f615a9e
[    4.636679] random 0075 0000 0000 88bd0bb1 9f615a9e: trying to extract 128 bits from nonblocking
[    4.636682] random 0075 0000 0000 88bd0bb1 9f615a9e: debiting 128 entropy credits from nonblocking (unlimited)
[    4.636684] random 0075 0000 0000 88bd0bb1 9f615a9e: extract_entropy account returned: 16 
[    4.636688] random 0075 0000 0000 88bd0bb1 9f615a9e: urand_change_num 1262 extract_buf: pool_sig fffffb8e, data_sig ffffff8a, bytes_mixed 20 88bd0bb1 9f615a9e
[    4.636693] random 0075 0000 0000 9f213ec1 93d6eb18: urand_change_num 1263 extract_buf: pool_sig fffff7e8, data_sig 000001db, bytes_mixed 20 9f213ec1 93d6eb18
[    4.638794] random 0075 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.638798] random 0075 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10874862356022615950, cycles: -7571881721981825666
[    4.638802] random 0075 0000 0000 93314108 7dade9a2: added 1 entropy credits to input
[    4.639002] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639006] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10877001546088767374, cycles: -7569742531915674242
[    4.639065] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639069] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10877651370345684878, cycles: -7569092707658756738
[    4.639124] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639128] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10878259911376953230, cycles: -7568484166627488386
[    4.639182] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639186] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10878858982005333902, cycles: -7567885095999107714
[    4.639239] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639243] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10879447461244362638, cycles: -7567296616760078978
[    4.639297] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639301] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10880043001409625998, cycles: -7566701076594815618
[    4.639369] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639372] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10880778407184883598, cycles: -7565965670819558018
[    4.639432] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639436] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10881433527136477070, cycles: -7565310550867964546
[    4.639494] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639498] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10882071226700717966, cycles: -7564672851303723650
[    4.639561] random 0076 0000 0000 93314108 7dade9a2: add_disk_randomness(8:0) 93314108 7dade9a2
[    4.639565] random 0076 0000 0000 93314108 7dade9a2: add_timer_randomness(.. 8388864) with jiffies: 10882760736455450510, cycles: -7563983341548991106
[    4.639904] random 0076 0000 0000 93314108 7dade9a2: rand_read_num 419 get_random_bytes(16): sig 000002ed 93314108 7dade9a2
[    4.639908] random 0076 0000 0000 93314108 7dade9a2: extract_entropy(.. 16 ..)
[    4.639912] random 0076 0000 0000 93314108 7dade9a2: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.639915] random 0076 0000 0000 93314108 7dade9a2: extract_entropy(.. 16 ..)
[    4.639920] random 0076 0000 0000 93314108 7dade9a2: trying to extract 128 bits from input
[    4.639922] random 0076 0000 0000 93314108 7dade9a2: debiting 0 entropy credits from input
[    4.639924] random 0076 0000 0000 93314108 7dade9a2: extract_entropy account returned: 0 
[    4.639927] random 0076 0000 0000 93314108 7dade9a2: urand_change_num 1264 xfer_secondary_pool(16): pool_sig 000002ed, data_sig 00000000, bytes_mixed 0 93314108 7dade9a2
[    4.639930] random 0076 0000 0000 93314108 7dade9a2: trying to extract 128 bits from nonblocking
[    4.639933] random 0076 0000 0000 93314108 7dade9a2: debiting 128 entropy credits from nonblocking (unlimited)
[    4.639935] random 0076 0000 0000 93314108 7dade9a2: extract_entropy account returned: 16 
[    4.639939] random 0076 0000 0000 93314108 7dade9a2: urand_change_num 1265 extract_buf: pool_sig 000002ed, data_sig fffffee4, bytes_mixed 20 93314108 7dade9a2
[    4.639943] random 0076 0000 0000 93314108 7dade9a2: urand_change_num 1266 extract_buf: pool_sig 000001e6, data_sig 0000005d, bytes_mixed 20 93314108 7dade9a2
[    4.639965] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_disk_randomness(8:0) 2aa1a2f8 1fd951ea
[    4.639968] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_timer_randomness(.. 8388864) with jiffies: 10886917160991383438, cycles: -7559826917013058178
[    4.644750] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_disk_randomness(8:0) 2aa1a2f8 1fd951ea
[    4.644756] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_timer_randomness(.. 8388864) with jiffies: 10936215414090162063, cycles: -7510528663914279554
[    4.645625] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_disk_randomness(8:0) 2aa1a2f8 1fd951ea
[    4.645630] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_timer_randomness(.. 8388864) with jiffies: 10945223261884964751, cycles: -7501520816119476866
[    4.646597] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_disk_randomness(8:0) 2aa1a2f8 1fd951ea
[    4.646603] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_timer_randomness(.. 8388864) with jiffies: 10955246229495144335, cycles: -7491497848509297282
[    4.646631] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_disk_randomness(8:0) 2aa1a2f8 1fd951ea
[    4.646635] random 0076 0000 0000 2aa1a2f8 1fd951ea: add_timer_randomness(.. 8388864) with jiffies: 10955578131682877327, cycles: -7491165946321564290
