
<7>[    3.963118] random 0030 0000 0000 cb172a87 fec132c2: add_disk_randomness(8:0) cb172a87 fec132c2
[    5.419339] random 0095 0000 0000 2c7385c3 4ad828b5: add_timer_randomness(.. 8388864) with jiffies: 3466554484983783504, cycles: 3466554480688893169
[    5.419345] random 0095 0000 0000 2c7385c3 4ad828b5: trying to extract 128 bits from nonblocking
[    5.419347] random 0095 0000 0000 2c7385c3 4ad828b5: debiting 128 entropy credits from nonblocking (unlimited)
[    5.419349] random 0095 0000 0000 2c7385c3 4ad828b5: extract_entropy account returned: 16 
[    5.419353] random 0095 0000 0000 2c7385c3 4ad828b5: urand_change_num 1881 extract_buf: pool_sig fffffb4d, data_sig 00000203, bytes_mixed 20 2c7385c3 4ad828b5
[    5.419357] random 0095 0000 0000 2c7385c3 4ad828b5: urand_change_num 1882 extract_buf: pool_sig ffffff58, data_sig ffffffcf, bytes_mixed 20 2c7385c3 4ad828b5
[    5.420019] random 0095 0000 0000 a74b8ea7 f853ef35: rand_read_num 625 get_random_bytes(16): sig 00000133 a74b8ea7 f853ef35
[    5.420022] random 0095 0000 0000 a74b8ea7 f853ef35: extract_entropy(.. 16 ..)
[    5.420024] random 0095 0000 0000 a74b8ea7 f853ef35: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.420027] random 0095 0000 0000 a74b8ea7 f853ef35: extract_entropy(.. 16 ..)
[    5.420029] random 0095 0000 0000 a74b8ea7 f853ef35: trying to extract 128 bits from input
[    5.420031] random 0095 0000 0000 a74b8ea7 f853ef35: debiting 0 entropy credits from input
[    5.420033] random 0095 0000 0000 a74b8ea7 f853ef35: extract_entropy account returned: 0 
[    5.420037] random 0095 0000 0000 a74b8ea7 f853ef35: urand_change_num 1883 xfer_secondary_pool(16): pool_sig 00000133, data_sig 00000000, bytes_mixed 0 a74b8ea7 f853ef35
[    5.420039] random 0095 0000 0000 a74b8ea7 f853ef35: trying to extract 128 bits from nonblocking
[    5.420042] random 0095 0000 0000 a74b8ea7 f853ef35: debiting 128 entropy credits from nonblocking (unlimited)
[    5.420044] random 0095 0000 0000 a74b8ea7 f853ef35: extract_entropy account returned: 16 
[    5.420048] random 0095 0000 0000 a74b8ea7 f853ef35: urand_change_num 1884 extract_buf: pool_sig 00000133, data_sig fffffd70, bytes_mixed 20 a74b8ea7 f853ef35
[    5.420052] random 0095 0000 0000 a74b8ea7 f853ef35: urand_change_num 1885 extract_buf: pool_sig fffff9e2, data_sig ffffff67, bytes_mixed 20 a74b8ea7 f853ef35
[    5.420202] random 0095 0000 0000 c4e5ad2c e3436fd3: add_disk_randomness(8:0) c4e5ad2c e3436fd3
[    5.420206] random 0095 0000 0000 c4e5ad2c e3436fd3: add_timer_randomness(.. 8388864) with jiffies: 3475489228140240976, cycles: 3475489223845350641
[    5.421039] random 0095 0000 0000 c4e5ad2c e3436fd3: add_disk_randomness(8:0) c4e5ad2c e3436fd3
[    5.421043] random 0095 0000 0000 c4e5ad2c e3436fd3: add_timer_randomness(.. 8388864) with jiffies: 3484112053591793745, cycles: 3484112049296903409
[    5.423867] random 0095 0000 0000 c4e5ad2c e3436fd3: add_disk_randomness(8:0) c4e5ad2c e3436fd3
[    5.423872] random 0095 0000 0000 c4e5ad2c e3436fd3: add_timer_randomness(.. 8388864) with jiffies: 3513245976401731665, cycles: 3513245972106841329
[    5.424999] random 0095 0000 0000 c4e5ad2c e3436fd3: add_disk_randomness(8:0) c4e5ad2c e3436fd3
[    5.425003] random 0095 0000 0000 c4e5ad2c e3436fd3: add_timer_randomness(.. 8388864) with jiffies: 3524897595610554450, cycles: 3524897591315664113
[    5.425055] random 0095 0000 0000 c4e5ad2c e3436fd3: rand_read_num 626 get_random_bytes(16): sig fffffd94 c4e5ad2c e3436fd3
[    5.425057] random 0095 0000 0000 c4e5ad2c e3436fd3: extract_entropy(.. 16 ..)
[    5.425060] random 0095 0000 0000 c4e5ad2c e3436fd3: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.425063] random 0095 0000 0000 c4e5ad2c e3436fd3: extract_entropy(.. 16 ..)
[    5.425065] random 0095 0000 0000 c4e5ad2c e3436fd3: trying to extract 128 bits from input
[    5.425067] random 0095 0000 0000 c4e5ad2c e3436fd3: debiting 0 entropy credits from input
[    5.425070] random 0095 0000 0000 c4e5ad2c e3436fd3: extract_entropy account returned: 0 
[    5.425073] random 0095 0000 0000 c4e5ad2c e3436fd3: urand_change_num 1886 xfer_secondary_pool(16): pool_sig fffffd94, data_sig 00000000, bytes_mixed 0 c4e5ad2c e3436fd3
[    5.425076] random 0095 0000 0000 c4e5ad2c e3436fd3: trying to extract 128 bits from nonblocking
[    5.425078] random 0095 0000 0000 c4e5ad2c e3436fd3: debiting 128 entropy credits from nonblocking (unlimited)
[    5.425081] random 0095 0000 0000 c4e5ad2c e3436fd3: extract_entropy account returned: 16 
[    5.425084] random 0095 0000 0000 c4e5ad2c e3436fd3: urand_change_num 1887 extract_buf: pool_sig fffffd94, data_sig fffffee9, bytes_mixed 20 c4e5ad2c e3436fd3
[    5.425089] random 0095 0000 0000 df4dc16f d1544fb5: urand_change_num 1888 extract_buf: pool_sig 00000129, data_sig 0000007f, bytes_mixed 20 df4dc16f d1544fb5
[    5.425273] random 0095 0000 0000 df4dc16f d1544fb5: add_disk_randomness(8:0) df4dc16f d1544fb5
[    5.425278] random 0095 0000 0000 df4dc16f d1544fb5: add_timer_randomness(.. 8388864) with jiffies: 3527727094295355474, cycles: 3527727090000465137
[    5.426601] random 0095 0000 0000 df4dc16f d1544fb5: rand_read_num 627 urandom_read(4): sig 0000002a df4dc16f d1544fb5 pid=790 comm=avahi-daemon
[    5.426605] random 0095 0000 0000 df4dc16f d1544fb5: extract_entropy_user(4)
[    5.426608] random 0095 0000 0000 df4dc16f d1544fb5: going to reseed nonblocking with 64 bits (32 of 0 requested)
[    5.426610] random 0095 0000 0000 df4dc16f d1544fb5: extract_entropy(.. 8 ..)
[    5.426612] random 0095 0000 0000 df4dc16f d1544fb5: trying to extract 64 bits from input
[    5.426615] random 0095 0000 0000 df4dc16f d1544fb5: debiting 0 entropy credits from input
[    5.426617] random 0095 0000 0000 df4dc16f d1544fb5: extract_entropy account returned: 0 
[    5.426620] random 0095 0000 0000 df4dc16f d1544fb5: urand_change_num 1889 xfer_secondary_pool(4): pool_sig 0000002a, data_sig 00000000, bytes_mixed 0 df4dc16f d1544fb5
[    5.426623] random 0095 0000 0000 df4dc16f d1544fb5: trying to extract 32 bits from nonblocking
[    5.426626] random 0095 0000 0000 df4dc16f d1544fb5: debiting 32 entropy credits from nonblocking (unlimited)
[    5.426628] random 0095 0000 0000 df4dc16f d1544fb5:   got 4 bytes
[    5.426631] random 0095 0000 0000 df4dc16f d1544fb5: urand_change_num 1890 extract_buf: pool_sig 0000002a, data_sig fffffdbf, bytes_mixed 20 df4dc16f d1544fb5
[    5.426940] random 0095 0000 0000 58b784d5 c93959ff: add_disk_randomness(8:0) 58b784d5 c93959ff
[    5.426945] random 0095 0000 0000 58b784d5 c93959ff: add_timer_randomness(.. 8388864) with jiffies: 3544899868193382482, cycles: 3544899863898492145
[    5.427082] random 0095 0000 0000 58b784d5 c93959ff: add_disk_randomness(8:0) 58b784d5 c93959ff
[    5.427086] random 0095 0000 0000 58b784d5 c93959ff: add_timer_randomness(.. 8388864) with jiffies: 3546355647358361682, cycles: 3546355643063471345
[    5.427517] random 0095 0000 0000 58b784d5 c93959ff: add_disk_randomness(8:0) 58b784d5 c93959ff
[    5.427521] random 0095 0000 0000 58b784d5 c93959ff: add_timer_randomness(.. 8388864) with jiffies: 3550833073455030354, cycles: 3550833069160140017
[    5.428012] random 0095 0000 0000 58b784d5 c93959ff: add_disk_randomness(8:0) 58b784d5 c93959ff
[    5.428017] random 0095 0000 0000 58b784d5 c93959ff: add_timer_randomness(.. 8388864) with jiffies: 3555940107397554258, cycles: 3555940103102663921
[    5.429119] random 0095 0000 0000 58b784d5 c93959ff: add_disk_randomness(8:0) 58b784d5 c93959ff
[    5.429123] random 0095 0000 0000 58b784d5 c93959ff: add_timer_randomness(.. 8388864) with jiffies: 3567335119490310227, cycles: 3567335115195419889
[    5.429260] random 0095 0000 0000 58b784d5 c93959ff: add_disk_randomness(8:0) 58b784d5 c93959ff
[    5.429264] random 0095 0000 0000 58b784d5 c93959ff: add_timer_randomness(.. 8388864) with jiffies: 3568788295905108051, cycles: 3568788291610217713
[    5.429620] random 0095 0000 0000 58b784d5 c93959ff: add_disk_randomness(8:0) 58b784d5 c93959ff
[    5.429623] random 0095 0000 0000 58b784d5 c93959ff: add_timer_randomness(.. 8388864) with jiffies: 3572490317196091475, cycles: 3572490312901201137
[    5.433256] random 0095 0000 0000 58b784d5 c93959ff: rand_read_num 628 get_random_bytes(16): sig fffffcd8 58b784d5 c93959ff
[    5.433259] random 0095 0000 0000 58b784d5 c93959ff: extract_entropy(.. 16 ..)
[    5.433262] random 0095 0000 0000 58b784d5 c93959ff: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.433265] random 0095 0000 0000 58b784d5 c93959ff: extract_entropy(.. 16 ..)
[    5.433267] random 0095 0000 0000 58b784d5 c93959ff: trying to extract 128 bits from input
[    5.433270] random 0095 0000 0000 58b784d5 c93959ff: debiting 0 entropy credits from input
[    5.433272] random 0095 0000 0000 58b784d5 c93959ff: extract_entropy account returned: 0 
[    5.433275] random 0095 0000 0000 58b784d5 c93959ff: urand_change_num 1891 xfer_secondary_pool(16): pool_sig fffffcd8, data_sig 00000000, bytes_mixed 0 58b784d5 c93959ff
[    5.433278] random 0095 0000 0000 58b784d5 c93959ff: trying to extract 128 bits from nonblocking
[    5.433281] random 0095 0000 0000 58b784d5 c93959ff: debiting 128 entropy credits from nonblocking (unlimited)
[    5.433283] random 0095 0000 0000 58b784d5 c93959ff: extract_entropy account returned: 16 
[    5.433287] random 0095 0000 0000 58b784d5 c93959ff: urand_change_num 1892 extract_buf: pool_sig fffffcd8, data_sig ffffff8a, bytes_mixed 20 58b784d5 c93959ff
[    5.433291] random 0095 0000 0000 61c2d3ff 5077f4c9: urand_change_num 1893 extract_buf: pool_sig 00000094, data_sig 0000017a, bytes_mixed 20 61c2d3ff 5077f4c9
[    5.434314] random 0095 0000 0000 61c2d3ff 5077f4c9: rand_read_num 629 get_random_bytes(16): sig ffffff85 61c2d3ff 5077f4c9
[    5.434317] random 0095 0000 0000 61c2d3ff 5077f4c9: extract_entropy(.. 16 ..)
[    5.434320] random 0095 0000 0000 61c2d3ff 5077f4c9: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.434322] random 0095 0000 0000 61c2d3ff 5077f4c9: extract_entropy(.. 16 ..)
[    5.434324] random 0095 0000 0000 61c2d3ff 5077f4c9: trying to extract 128 bits from input
[    5.434327] random 0095 0000 0000 61c2d3ff 5077f4c9: debiting 0 entropy credits from input
[    5.434329] random 0095 0000 0000 61c2d3ff 5077f4c9: extract_entropy account returned: 0 
[    5.434332] random 0095 0000 0000 61c2d3ff 5077f4c9: urand_change_num 1894 xfer_secondary_pool(16): pool_sig ffffff85, data_sig 00000000, bytes_mixed 0 61c2d3ff 5077f4c9
[    5.434335] random 0095 0000 0000 61c2d3ff 5077f4c9: trying to extract 128 bits from nonblocking
[    5.434337] random 0095 0000 0000 61c2d3ff 5077f4c9: debiting 128 entropy credits from nonblocking (unlimited)
[    5.434340] random 0095 0000 0000 61c2d3ff 5077f4c9: extract_entropy account returned: 16 
[    5.434343] random 0095 0000 0000 61c2d3ff 5077f4c9: urand_change_num 1895 extract_buf: pool_sig ffffff85, data_sig 0000009c, bytes_mixed 20 61c2d3ff 5077f4c9
[    5.434348] random 0095 0000 0000 11cb204f cbf0ee40: urand_change_num 1896 extract_buf: pool_sig fffffd83, data_sig fffffe12, bytes_mixed 20 11cb204f cbf0ee40
[    5.435042] random 0095 0000 0000 11cb204f cbf0ee40: rand_read_num 630 get_random_bytes(16): sig fffffccd 11cb204f cbf0ee40
[    5.435045] random 0095 0000 0000 11cb204f cbf0ee40: extract_entropy(.. 16 ..)
[    5.435048] random 0095 0000 0000 11cb204f cbf0ee40: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.435050] random 0095 0000 0000 11cb204f cbf0ee40: extract_entropy(.. 16 ..)
[    5.435052] random 0095 0000 0000 11cb204f cbf0ee40: trying to extract 128 bits from input
[    5.435055] random 0095 0000 0000 11cb204f cbf0ee40: debiting 0 entropy credits from input
[    5.435057] random 0095 0000 0000 11cb204f cbf0ee40: extract_entropy account returned: 0 
[    5.435060] random 0095 0000 0000 11cb204f cbf0ee40: urand_change_num 1897 xfer_secondary_pool(16): pool_sig fffffccd, data_sig 00000000, bytes_mixed 0 11cb204f cbf0ee40
[    5.435063] random 0095 0000 0000 11cb204f cbf0ee40: trying to extract 128 bits from nonblocking
[    5.435065] random 0095 0000 0000 11cb204f cbf0ee40: debiting 128 entropy credits from nonblocking (unlimited)
[    5.435067] random 0095 0000 0000 11cb204f cbf0ee40: extract_entropy account returned: 16 
[    5.435071] random 0095 0000 0000 11cb204f cbf0ee40: urand_change_num 1898 extract_buf: pool_sig fffffccd, data_sig 000000fa, bytes_mixed 20 11cb204f cbf0ee40
[    5.435076] random 0095 0000 0000 ec96b9d7 7fc1e8db: urand_change_num 1899 extract_buf: pool_sig fffffd9f, data_sig fffffdf9, bytes_mixed 20 ec96b9d7 7fc1e8db
[    5.440354] random 0095 0000 0000 a0ae5576 ec078be0: rand_read_num 631 get_random_bytes(16): sig ffffff4e a0ae5576 ec078be0
[    5.440358] random 0095 0000 0000 a0ae5576 ec078be0: extract_entropy(.. 16 ..)
[    5.440361] random 0095 0000 0000 a0ae5576 ec078be0: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.440363] random 0095 0000 0000 a0ae5576 ec078be0: extract_entropy(.. 16 ..)
[    5.440365] random 0095 0000 0000 a0ae5576 ec078be0: trying to extract 128 bits from input
[    5.440368] random 0095 0000 0000 a0ae5576 ec078be0: debiting 0 entropy credits from input
[    5.440370] random 0095 0000 0000 a0ae5576 ec078be0: extract_entropy account returned: 0 
[    5.440373] random 0095 0000 0000 a0ae5576 ec078be0: urand_change_num 1900 xfer_secondary_pool(16): pool_sig ffffff4e, data_sig 00000000, bytes_mixed 0 a0ae5576 ec078be0
[    5.440376] random 0095 0000 0000 a0ae5576 ec078be0: trying to extract 128 bits from nonblocking
[    5.440379] random 0095 0000 0000 a0ae5576 ec078be0: debiting 128 entropy credits from nonblocking (unlimited)
[    5.440381] random 0095 0000 0000 a0ae5576 ec078be0: extract_entropy account returned: 16 
[    5.440385] random 0095 0000 0000 a0ae5576 ec078be0: urand_change_num 1901 extract_buf: pool_sig ffffff4e, data_sig 00000029, bytes_mixed 20 a0ae5576 ec078be0
[    5.440389] random 0095 0000 0000 a0ae5576 ec078be0: urand_change_num 1902 extract_buf: pool_sig fffffaab, data_sig ffffff34, bytes_mixed 20 a0ae5576 ec078be0
[    5.445073] random 0095 0000 0000 604e4851 e54ce485: rand_read_num 632 get_random_bytes(16): sig 0000004a 604e4851 e54ce485
[    5.445076] random 0095 0000 0000 604e4851 e54ce485: extract_entropy(.. 16 ..)
[    5.445079] random 0095 0000 0000 604e4851 e54ce485: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.445081] random 0095 0000 0000 604e4851 e54ce485: extract_entropy(.. 16 ..)
[    5.445084] random 0095 0000 0000 604e4851 e54ce485: trying to extract 128 bits from input
[    5.445086] random 0095 0000 0000 604e4851 e54ce485: debiting 0 entropy credits from input
[    5.445088] random 0095 0000 0000 604e4851 e54ce485: extract_entropy account returned: 0 
[    5.445091] random 0095 0000 0000 604e4851 e54ce485: urand_change_num 1903 xfer_secondary_pool(16): pool_sig 0000004a, data_sig 00000000, bytes_mixed 0 604e4851 e54ce485
[    5.445094] random 0095 0000 0000 604e4851 e54ce485: trying to extract 128 bits from nonblocking
[    5.445097] random 0095 0000 0000 604e4851 e54ce485: debiting 128 entropy credits from nonblocking (unlimited)
[    5.445099] random 0095 0000 0000 604e4851 e54ce485: extract_entropy account returned: 16 
[    5.445103] random 0095 0000 0000 604e4851 e54ce485: urand_change_num 1904 extract_buf: pool_sig 0000004a, data_sig fffffe50, bytes_mixed 20 604e4851 e54ce485
[    5.445108] random 0095 0000 0000 e79a94d3 c0a66bf6: urand_change_num 1905 extract_buf: pool_sig fffffe49, data_sig 0000018b, bytes_mixed 20 e79a94d3 c0a66bf6
[    5.449469] random 0095 0000 0000 e79a94d3 c0a66bf6: rand_read_num 633 get_random_bytes(16): sig 000002bf e79a94d3 c0a66bf6
[    5.449473] random 0095 0000 0000 e79a94d3 c0a66bf6: extract_entropy(.. 16 ..)
[    5.449476] random 0095 0000 0000 e79a94d3 c0a66bf6: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.449478] random 0095 0000 0000 e79a94d3 c0a66bf6: extract_entropy(.. 16 ..)
[    5.449481] random 0095 0000 0000 e79a94d3 c0a66bf6: trying to extract 128 bits from input
[    5.449483] random 0095 0000 0000 e79a94d3 c0a66bf6: debiting 0 entropy credits from input
[    5.449485] random 0095 0000 0000 e79a94d3 c0a66bf6: extract_entropy account returned: 0 
[    5.449488] random 0095 0000 0000 e79a94d3 c0a66bf6: urand_change_num 1906 xfer_secondary_pool(16): pool_sig 000002bf, data_sig 00000000, bytes_mixed 0 e79a94d3 c0a66bf6
[    5.449491] random 0095 0000 0000 e79a94d3 c0a66bf6: trying to extract 128 bits from nonblocking
[    5.449494] random 0095 0000 0000 e79a94d3 c0a66bf6: debiting 128 entropy credits from nonblocking (unlimited)
[    5.449496] random 0095 0000 0000 e79a94d3 c0a66bf6: extract_entropy account returned: 16 
[    5.449500] random 0095 0000 0000 e79a94d3 c0a66bf6: urand_change_num 1907 extract_buf: pool_sig 000002bf, data_sig 0000013e, bytes_mixed 20 e79a94d3 c0a66bf6
[    5.449505] random 0095 0000 0000 302cd5d8 b4388134: urand_change_num 1908 extract_buf: pool_sig ffffffca, data_sig 00000126, bytes_mixed 20 302cd5d8 b4388134
[    5.450146] random 0095 0000 0000 302cd5d8 b4388134: rand_read_num 634 get_random_bytes(16): sig fffffdd6 302cd5d8 b4388134
[    5.450149] random 0095 0000 0000 302cd5d8 b4388134: extract_entropy(.. 16 ..)
[    5.450153] random 0095 0000 0000 302cd5d8 b4388134: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.450155] random 0095 0000 0000 302cd5d8 b4388134: extract_entropy(.. 16 ..)
[    5.450157] random 0095 0000 0000 302cd5d8 b4388134: trying to extract 128 bits from input
[    5.450159] random 0095 0000 0000 302cd5d8 b4388134: debiting 0 entropy credits from input
[    5.450162] random 0095 0000 0000 302cd5d8 b4388134: extract_entropy account returned: 0 
[    5.450165] random 0095 0000 0000 302cd5d8 b4388134: urand_change_num 1909 xfer_secondary_pool(16): pool_sig fffffdd6, data_sig 00000000, bytes_mixed 0 302cd5d8 b4388134
[    5.450167] random 0095 0000 0000 302cd5d8 b4388134: trying to extract 128 bits from nonblocking
[    5.450170] random 0095 0000 0000 302cd5d8 b4388134: debiting 128 entropy credits from nonblocking (unlimited)
[    5.450172] random 0095 0000 0000 302cd5d8 b4388134: extract_entropy account returned: 16 
[    5.450176] random 0095 0000 0000 302cd5d8 b4388134: urand_change_num 1910 extract_buf: pool_sig fffffdd6, data_sig ffffff24, bytes_mixed 20 302cd5d8 b4388134
[    5.450180] random 0095 0000 0000 628dc037 60a51fea: urand_change_num 1911 extract_buf: pool_sig fffffbed, data_sig fffffe3a, bytes_mixed 20 628dc037 60a51fea
[    5.453092] random 0095 0000 0000 79140573 0c8272e1: rand_read_num 635 get_random_bytes(16): sig 00000297 79140573 0c8272e1
[    5.453095] random 0095 0000 0000 79140573 0c8272e1: extract_entropy(.. 16 ..)
[    5.453098] random 0095 0000 0000 79140573 0c8272e1: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.453100] random 0095 0000 0000 79140573 0c8272e1: extract_entropy(.. 16 ..)
[    5.453102] random 0095 0000 0000 79140573 0c8272e1: trying to extract 128 bits from input
[    5.453105] random 0095 0000 0000 79140573 0c8272e1: debiting 0 entropy credits from input
[    5.453107] random 0095 0000 0000 79140573 0c8272e1: extract_entropy account returned: 0 
[    5.453110] random 0095 0000 0000 79140573 0c8272e1: urand_change_num 1912 xfer_secondary_pool(16): pool_sig 00000297, data_sig 00000000, bytes_mixed 0 79140573 0c8272e1
[    5.453113] random 0095 0000 0000 79140573 0c8272e1: trying to extract 128 bits from nonblocking
[    5.453115] random 0095 0000 0000 79140573 0c8272e1: debiting 128 entropy credits from nonblocking (unlimited)
[    5.453118] random 0095 0000 0000 79140573 0c8272e1: extract_entropy account returned: 16 
[    5.453121] random 0095 0000 0000 79140573 0c8272e1: urand_change_num 1913 extract_buf: pool_sig 00000297, data_sig fffffe05, bytes_mixed 20 79140573 0c8272e1
[    5.453126] random 0095 0000 0000 79140573 0c8272e1: urand_change_num 1914 extract_buf: pool_sig 000003d3, data_sig 000001ec, bytes_mixed 20 79140573 0c8272e1
[    5.453744] random 0095 0000 0000 acccbcc0 b9fc434e: rand_read_num 636 get_random_bytes(16): sig fffff958 acccbcc0 b9fc434e
[    5.453747] random 0095 0000 0000 acccbcc0 b9fc434e: extract_entropy(.. 16 ..)
[    5.453750] random 0095 0000 0000 acccbcc0 b9fc434e: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.453753] random 0095 0000 0000 acccbcc0 b9fc434e: extract_entropy(.. 16 ..)
[    5.453755] random 0095 0000 0000 acccbcc0 b9fc434e: trying to extract 128 bits from input
[    5.453757] random 0095 0000 0000 acccbcc0 b9fc434e: debiting 0 entropy credits from input
[    5.453760] random 0095 0000 0000 acccbcc0 b9fc434e: extract_entropy account returned: 0 
[    5.453763] random 0095 0000 0000 acccbcc0 b9fc434e: urand_change_num 1915 xfer_secondary_pool(16): pool_sig fffff958, data_sig 00000000, bytes_mixed 0 acccbcc0 b9fc434e
[    5.453766] random 0095 0000 0000 acccbcc0 b9fc434e: trying to extract 128 bits from nonblocking
[    5.453768] random 0095 0000 0000 acccbcc0 b9fc434e: debiting 128 entropy credits from nonblocking (unlimited)
[    5.453782] random 0095 0000 0000 acccbcc0 b9fc434e: extract_entropy account returned: 16 
[    5.453786] random 0095 0000 0000 acccbcc0 b9fc434e: urand_change_num 1916 extract_buf: pool_sig fffff958, data_sig ffffff28, bytes_mixed 20 acccbcc0 b9fc434e
[    5.453790] random 0095 0000 0000 07e5ce58 2c49ee6a: urand_change_num 1917 extract_buf: pool_sig ffffff25, data_sig ffffff82, bytes_mixed 20 07e5ce58 2c49ee6a
[    5.454285] random 0095 0000 0000 07e5ce58 2c49ee6a: rand_read_num 637 get_random_bytes(16): sig 000003ca 07e5ce58 2c49ee6a
[    5.454287] random 0095 0000 0000 07e5ce58 2c49ee6a: extract_entropy(.. 16 ..)
[    5.454290] random 0095 0000 0000 07e5ce58 2c49ee6a: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.454292] random 0095 0000 0000 07e5ce58 2c49ee6a: extract_entropy(.. 16 ..)
[    5.454295] random 0095 0000 0000 07e5ce58 2c49ee6a: trying to extract 128 bits from input
[    5.454297] random 0095 0000 0000 07e5ce58 2c49ee6a: debiting 0 entropy credits from input
[    5.454299] random 0095 0000 0000 07e5ce58 2c49ee6a: extract_entropy account returned: 0 
[    5.454302] random 0095 0000 0000 07e5ce58 2c49ee6a: urand_change_num 1918 xfer_secondary_pool(16): pool_sig 000003ca, data_sig 00000000, bytes_mixed 0 07e5ce58 2c49ee6a
[    5.454305] random 0095 0000 0000 07e5ce58 2c49ee6a: trying to extract 128 bits from nonblocking
[    5.454307] random 0095 0000 0000 07e5ce58 2c49ee6a: debiting 128 entropy credits from nonblocking (unlimited)
[    5.454310] random 0095 0000 0000 07e5ce58 2c49ee6a: extract_entropy account returned: 16 
[    5.454313] random 0095 0000 0000 07e5ce58 2c49ee6a: urand_change_num 1919 extract_buf: pool_sig 000003ca, data_sig 00000078, bytes_mixed 20 07e5ce58 2c49ee6a
[    5.454318] random 0095 0000 0000 d91a17a2 293d8d93: urand_change_num 1920 extract_buf: pool_sig fffffeeb, data_sig ffffffaa, bytes_mixed 20 d91a17a2 293d8d93
[    5.456421] random 0095 0000 0000 d91a17a2 293d8d93: rand_read_num 638 get_random_bytes(16): sig fffffb83 d91a17a2 293d8d93
[    5.456424] random 0095 0000 0000 d91a17a2 293d8d93: extract_entropy(.. 16 ..)
[    5.456428] random 0095 0000 0000 d91a17a2 293d8d93: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.456430] random 0095 0000 0000 d91a17a2 293d8d93: extract_entropy(.. 16 ..)
[    5.456433] random 0095 0000 0000 d91a17a2 293d8d93: trying to extract 128 bits from input
[    5.456435] random 0095 0000 0000 d91a17a2 293d8d93: debiting 0 entropy credits from input
[    5.456437] random 0095 0000 0000 d91a17a2 293d8d93: extract_entropy account returned: 0 
[    5.456440] random 0095 0000 0000 d91a17a2 293d8d93: urand_change_num 1921 xfer_secondary_pool(16): pool_sig fffffb83, data_sig 00000000, bytes_mixed 0 d91a17a2 293d8d93
[    5.456443] random 0095 0000 0000 d91a17a2 293d8d93: trying to extract 128 bits from nonblocking
[    5.456446] random 0095 0000 0000 d91a17a2 293d8d93: debiting 128 entropy credits from nonblocking (unlimited)
[    5.456448] random 0095 0000 0000 d91a17a2 293d8d93: extract_entropy account returned: 16 
[    5.456452] random 0095 0000 0000 d91a17a2 293d8d93: urand_change_num 1922 extract_buf: pool_sig fffffb83, data_sig ffffff13, bytes_mixed 20 d91a17a2 293d8d93
[    5.456457] random 0095 0000 0000 e1bc68b7 eb3ca5b2: urand_change_num 1923 extract_buf: pool_sig fffffa3e, data_sig fffffee9, bytes_mixed 20 e1bc68b7 eb3ca5b2
[    5.458652] Bluetooth: Core ver 2.15
[    5.462744] random 0095 0000 0000 658e2d0b f7e2c60c: rand_read_num 639 get_random_bytes(16): sig 000001e1 658e2d0b f7e2c60c
[    5.462749] random 0095 0000 0000 658e2d0b f7e2c60c: extract_entropy(.. 16 ..)
[    5.462754] random 0095 0000 0000 658e2d0b f7e2c60c: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.462758] random 0095 0000 0000 658e2d0b f7e2c60c: extract_entropy(.. 16 ..)
[    5.462761] random 0095 0000 0000 658e2d0b f7e2c60c: trying to extract 128 bits from input
[    5.462765] random 0095 0000 0000 658e2d0b f7e2c60c: debiting 0 entropy credits from input
[    5.462769] random 0095 0000 0000 658e2d0b f7e2c60c: extract_entropy account returned: 0 
[    5.462774] random 0095 0000 0000 658e2d0b f7e2c60c: urand_change_num 1924 xfer_secondary_pool(16): pool_sig 000001e1, data_sig 00000000, bytes_mixed 0 658e2d0b f7e2c60c
[    5.462779] random 0095 0000 0000 658e2d0b f7e2c60c: trying to extract 128 bits from nonblocking
[    5.462783] random 0095 0000 0000 658e2d0b f7e2c60c: debiting 128 entropy credits from nonblocking (unlimited)
[    5.462787] random 0095 0000 0000 658e2d0b f7e2c60c: extract_entropy account returned: 16 
[    5.462793] random 0095 0000 0000 658e2d0b f7e2c60c: urand_change_num 1925 extract_buf: pool_sig 000001e1, data_sig fffffebb, bytes_mixed 20 658e2d0b f7e2c60c
[    5.462800] random 0095 0000 0000 658e2d0b f7e2c60c: urand_change_num 1926 extract_buf: pool_sig fffffcc9, data_sig 000001aa, bytes_mixed 20 658e2d0b f7e2c60c
[    5.465131] random 0095 0000 0000 2173e648 31c57290: add_disk_randomness(8:0) 2173e648 31c57290
[    5.465136] random 0095 0000 0000 2173e648 31c57290: add_timer_randomness(.. 8388864) with jiffies: 3938255968415965276, cycles: 3938255964121074929
